forced_dmv,quoteback,gender,driver_hist_age_override,dln,extended_qb,amplified,last_name,search_period,product_code,soundexing,middle_name,suffix,century_indicator,ssn,mvr_code,dob,state,first_name,account
0,,,0,,,0,,B,8,0,,,0,, ,,AK,,502591   
,I PRE AK 1MO ADV PRESRCHADV0001 AK_PSCR_031                 , ,,dlndln0              ,,,LAST                ,,,,MIDLIAM        ,IV ,,         ,,011139M ,,FIRST               ,
,,,,,,,,,,,,,,,,,,,
0,,,0,,,0,,C,8,0,,,0,, ,,AK,,502591   
,I PRE AK 6MO ADV PRESRCHADV0006 AK_PSCR_002                 , ,,dlndln0              ,,,LASTAR              ,,,,RMID           ,   ,,         ,,072586M ,,FIRST               ,
,,,,,,,,,,,,,,,,,,,
0,,,0,,,0,,D,8,0,,,0,, ,,AK,,502591   
,I PRE AK 12MO ADV PRESRCHADV0012 AK_PSCR_004                , ,,dlndln0              ,,,LASTLEY             ,,,,MIDMAS         ,   ,,         ,,021657F ,,FIRST               ,
,,,,,,,,,,,,,,,,,,,
0,,,0,,,0,,E,8,0,,,0,, ,,AK,,502591   
,I PRE AK 36MO ADV PRESRCHADV0036 AK_PSCR_006                ,,,dlndln0              ,,,LASTAS              ,,,,               ,   ,,,,,,FIRSTT              ,
,,,,,,,,,,,,,,,,,,,
0,,,0,,,0,,F,8,0,,,0,, ,,AK,,502591   
,I PRE AK 60MO ADV PRESRCHADV0060 AK_PSCR_008                , ,,dlndln0              ,,,LASTLOWSKI          ,,,,MIDHAEL        ,   ,,         ,,042148M ,,FIRST               ,
,,,,,,,,,,,,,,,,,,,
